PMID,Title,Abstract,Keywords,Year,Journal
36945255,Bacteria-Driven Tumor Microenvironment-Sensitive Nanoparticles Targeting Hypoxic Regions Enhances the Chemotherapy Outcome of Lung Cancer.,"Chemotherapy still plays a dominant role in cancer treatment. However, the inability of conventional chemotherapeutic drugs to reach the hypoxic zone of solid tumors significantly weakens their efficacy. Bacteria-mediated drug delivery systems can be an effective targeting strategy for improving the therapeutic outcomes in cancer. Anaerobic bacteria have the unique ability to selectively transport drug loads to the hypoxic regions of tumors.","Humans, Animals, Mice, Mice, Nude, Tumor Microenvironment, Cell Line, Tumor, Paclitaxel, Lung Neoplasms, Drug Delivery Systems, Nanoparticles, Bacteria, Mice, Inbred BALB C",2023,International journal of nanomedicine
29422620,Targeted production of reactive oxygen species in mitochondria to overcome cancer drug resistance.,"Multidrug resistance is a major challenge to cancer chemotherapy. The multidrug resistance phenotype is associated with the overexpression of the adenosine triphosphate (ATP)-driven transmembrane efflux pumps in cancer cells. Here, we report a lipid membrane-coated silica-carbon (LSC) hybrid nanoparticle that targets mitochondria through pyruvate, to specifically produce reactive oxygen species (ROS) in mitochondria under near-infrared (NIR) laser irradiation. The ROS can oxidize the NADH into NAD<sup>+</sup> to reduce the amount of ATP available for the efflux pumps. The treatment with LSC nanoparticles and NIR laser irradiation also reduces the expression and increases the intracellular distribution of the efflux pumps. Consequently, multidrug-resistant cancer cells lose their multidrug resistance capability for at least 5 days, creating a therapeutic window for chemotherapy. Our in vivo data show that the drug-laden LSC nanoparticles in combination with NIR laser treatment can effectively inhibit the growth of multidrug-resistant tumors with no evident systemic toxicity.","ATP Binding Cassette Transporter, Subfamily B, Member 1, Adenosine Triphosphate, Antineoplastic Agents, Cell Line, Tumor, Doxorubicin, Drug Resistance, Multiple, Drug Resistance, Neoplasm, Humans, MCF-7 Cells, Mitochondria, NAD, Nanoparticles, Oxidation-Reduction, Reactive Oxygen Species, Silicon Dioxide",2018,Nature communications
38654614,Customized Lanthanide Nanobiohybrids for Noninvasive Precise Phototheranostics of Pulmonary Biofilm Infection.,"A noninvasive strategy for <i>in situ</i> diagnosis and precise treatment of bacterial biofilm infections is highly anticipated but still a great challenge. Currently, no <i>in vivo</i> biofilm-targeted theranostic agent is available. Herein, we fabricated intelligent theranostic alginate lyase (Aly)-NaNdF<sub>4</sub> nanohybrids with a 220 nm sunflower-like structure (NaNdF<sub>4</sub>@DMS-Aly) through an enrichment-encapsulating strategy, which exhibited excellent photothermal conversion efficiency and the second near-infrared (NIR-II) luminescence. Benefiting from the site-specific targeting and biofilm-responsive Aly release from NaNdF<sub>4</sub>@DMS-Aly, we not only enabled noninvasive diagnosis but also realized Aly-photothermal synergistic therapy and real-time evaluation of therapeutic effect in mice models with <i>Pseudomonas aeruginosa</i> biofilm-induced pulmonary infection. Furthermore, such nanobiohybrids with a sheddable siliceous shell are capable of delaying the NaNdF<sub>4</sub> dissolution and biodegradation upon accomplishing the therapy, which is highly beneficial for the biosafety of theranostic agents.","Biofilms, Animals, Mice, Theranostic Nanomedicine, Pseudomonas aeruginosa, Lanthanoid Series Elements, Pseudomonas Infections, Anti-Bacterial Agents, Humans, Photothermal Therapy, Mice, Inbred BALB C",2024,ACS nano
34863556,A heme-regulatable chemodynamic nanodrug harnessing transcription factor Bach1 against lung cancer metastasis.,"Non-small cell lung cancer (NSCLC) is a type of cancer dominated by metastasis-induced death. The transcription factor BTB and CNC homology 1 (Bach1) regulates almost all metastasis steps by activating the transcription of critical metastatic genes. It is urgent to engineer a nanodrug enabling regulation of Bach1 against tumor metastasis. Herein, a minimalist nanodrug integrating chemodynamic therapy (CDT) and Bach1 degradation was reported to prevent metastasis of NSCLC. The nanodrug was achieved by self-assembly of ferrocene (Fc) and Tin protoporphyrin IX (TinPPIX). In our nanodrug, Fc not only triggers the production of highly cytotoxic ∙OH for tumor ablation via Fenton reaction, but also induces heme release from heme-containing proteins to stimulate Bach 1 degradation. Moreover, TinPPIX further augments the free heme level along with amplifies the CDT efficacy by disabling heme oxygenase-1 (HO-1)-mediated heme conversion into antioxidative bilirubin. The results showed that, compared with control group, TinPPIX/Fc nanodrug caused a four-fold increase in heme level, which triggered remarkable Bach1 degradation in Fbxo22-mediated manner and successfully inhibited Bach1-dominated metastasis. Therefore, this nanodrug could powerfully impeded NSCLC progression and metastasis, offering an innovative heme-regulatable chemodynamic therapeutic approach for lung cancer with strong metastasis capability.","A549 Cells, Animals, Basic-Leucine Zipper Transcription Factors, Carcinoma, Non-Small-Cell Lung, F-Box Proteins, Heme, Humans, Lung Neoplasms, Male, Mice, SCID, Nanomedicine, Neoplasm Metastasis, Receptors, Cytoplasmic and Nuclear, Mice",2022,Journal of colloid and interface science
36466830,Cellular stress modulates severity of the inflammatory response in lungs <i>via</i> cell surface BiP.,"Inflammation is a central pathogenic feature of the acute respiratory distress syndrome (ARDS) in COVID-19. Previous pathologies such as diabetes, autoimmune or cardiovascular diseases become risk factors for the severe hyperinflammatory syndrome. A common feature among these risk factors is the subclinical presence of cellular stress, a finding that has gained attention after the discovery that BiP (GRP78), a master regulator of stress, participates in the SARS-CoV-2 recognition. Here, we show that BiP serum levels are higher in COVID-19 patients who present certain risk factors. Moreover, early during the infection, BiP levels predict severe pneumonia, supporting the use of BiP as a prognosis biomarker. Using a mouse model of pulmonary inflammation, we observed increased levels of cell surface BiP (cs-BiP) in leukocytes during inflammation. This corresponds with a higher number of neutrophiles, which show naturally high levels of cs-BiP, whereas alveolar macrophages show a higher than usual exposure of BiP in their cell surface. The modulation of cellular stress with the use of a clinically approved drug, 4-PBA, resulted in the amelioration of the lung hyperinflammatory response, supporting the anti-stress therapy as a valid therapeutic strategy for patients developing ARDS. Finally, we identified stress-modulated proteins that shed light into the mechanism underlying the cellular stress-inflammation network in lungs.","Humans, COVID-19, SARS-CoV-2, Respiratory Distress Syndrome, Inflammation, Endoplasmic Reticulum Chaperone BiP, Lung",2022,Frontiers in immunology
37848975,Enhanced antidepressant effects of BDNF-quercetin alginate nanogels for depression therapy.,"Brain-derived neurotrophic factor (BDNF) with neuronic development and function is a promising therapeutic agent for treating depressive disorder, according to the neurotrophin hypothesis. However, the delivery of BDNF into the brain is not easy as these large protein molecules cannot efficiently cross the blood-brain barrier (BBB) and easily suffer oxidative damage in vivo. Therefore, the quercetin-based alginate nanogels (quercetin nanogels) loaded with BDNF have been developed, which could efficiently bypass the BBB via the nose-to-brain pathway and protect BDNF from oxidative damage, providing an effective route for the therapy of depressive disorders by intranasal delivery.","Rats, Mice, Animals, Quercetin, Brain-Derived Neurotrophic Factor, Depression, Nanogels, Alginates, Phosphatidylinositol 3-Kinases, Antidepressive Agents, Hippocampus, Disease Models, Animal",2023,Journal of nanobiotechnology
26644047,Optimization and anticancer activity in vitro and in vivo of baohuoside I incorporated into mixed micelles based on lecithin and Solutol HS 15.,"Baohuoside I, extracted from the Herba epimedii, is an effective but a poorly soluble antitumor drug. To improve its solubility, formulation of baohuoside I-loaded mixed micelles with lecithin and Solutol HS 15 (BLSM) has been performed in this study. We performed a systematic comparative evaluation of the antiproliferative effect, cellular uptake, antitumor efficacy, and in vivo tumor targeting of these micelles using non-small cell lung cancer (NSCLC) A549 cells. Results showed that the obtained micelles have a mean particle size of around 62.54 nm, and the size of micelles was narrowly distributed. With the improved cellular uptake, BLSM displayed a more potent antiproliferative action on A549 cell lines than baohuoside I; half-maximal inhibitory concentration (IC<sub>50</sub>) was 6.31 versus 18.28 µg/mL, respectively. The antitumor efficacy test in nude mice showed that BLSM exhibited significantly higher antitumor activity against NSCLC with lesser toxic effects on normal tissues. The imaging study for in vivo targeting demonstrated that the mixed micelles formulation achieved effective and targeted drug delivery. Therefore, BLSM might be a potential antitumor formulation.","A549 Cells, Animals, Antineoplastic Agents, Carcinoma, Non-Small-Cell Lung, Cell Line, Tumor, Chemistry, Pharmaceutical, Drug Carriers, Drug Delivery Systems, Flavonoids, Humans, Lecithins, Lung Neoplasms, Male, Mice, Mice, Inbred BALB C, Mice, Nude, Micelles, Particle Size, Polyethylene Glycols, Solubility, Stearic Acids, Xenograft Model Antitumor Assays",2016,Drug delivery
32163008,Bone-targeted PAMAM nanoparticle to treat bone metastases of lung cancer.,"<b>Aim:</b> To prepare pH-sensitive nanoparticle composed of alendronate (ALN) and poly(amidoamine) (PAMAM) to treat bone metastases of lung cancer. <b>Methods:</b> The solvent evaporation method was used to prepare docetaxel (DTX)-loaded ALN-PAMAM nanoparticles (DTX@ALN-PAMAM). <b>Results:</b> The <i>in vitro</i> results showed DTX@ALN-PAMAM significantly enhanced the anticancer activity of DTX and inhibited the formation of osteoclasts. DTX@ALN-PAMAM concentrated at bone metastasis site in mice, which resulted in the suppression of bone resorption, pain response and growth of bone metastases. Eventually, the therapeutic effect of DTX on bone metastases of lung cancer was obviously improved. <b>Conclusion:</b> ALN modified PAMAM nanoparticle could be an effective platform for the treatment of bone metastases of lung cancer.","Alendronate, Animals, Antineoplastic Agents, Bone Neoplasms, Docetaxel, Drug Delivery Systems, Lung Neoplasms, Mice, Nanoparticles, Polyamines",2020,"Nanomedicine (London, England)"
33604928,Targeted Dual Small Interfering Ribonucleic Acid Delivery via Non-Viral Polymeric Vectors for Pulmonary Fibrosis Therapy.,"Inhibiting the myofibroblast differentiation of lung-resident mesenchymal stem cells (LR-MSCs) is a promising yet challenging approach for pulmonary fibrosis (PF) therapy. Here, micelles formed by a graft copolymer of multiple PEGs modified branched polyethylenimine are used for delivering runt-related transcription factor-1 (RUNX1) small interfering RNA (siRNA) (siRUNX1) to the lung, aiming to inhibit the myofibroblast differentiation of LR-MSCs. LR-MSC targeting is achieved by functionalizing the micelle surface with an anti-stem-cell antigen-1 antibody fragment (Fab'). Consequently, therapeutic benefits are obtained by successful suppression of myofibroblast differentiation of LR-MSCs in bleomycin-induced PF model mice treated with siRUNX1-loaded micelles. Furthermore, an excellent synergistic effect of PF therapy is achieved for this micelle system loaded siRUNX1 and glioma-associated oncogene homolog-1 (Gli1) small interfering RNA (siGli1), a traditional anti-PF siRNA of glioma-associated oncogene homolog-1. Hence, this work not only provides RUNX1 as a novel PF therapeutic target, but also as a promising dual siRNA-loaded nanocarrier system for the therapy of PF.","RNA, Small Interfering, Animals, Mice, Pulmonary Fibrosis, Micelles, Core Binding Factor Alpha 2 Subunit, Mesenchymal Stem Cells, Cell Differentiation, Polymers, Lung, Bleomycin, Genetic Vectors, Humans",2021,"Advanced materials (Deerfield Beach, Fla.)"
37395421,Sonocatalytic Optimization of Titanium-Based Therapeutic Nanomedicine.,"Recent considerable technological advances in ultrasound-based treatment modality provides a magnificent prospect for scientific communities to conquer the related diseases, which is featured with remarkable tissue penetration, non-invasive and non-thermal characteristics. As one of the critical elements that influences treatment outcomes, titanium (Ti)-based sonosensitizers with distinct physicochemical properties and exceptional sonodynamic efficiency have been applied extensively in the field of nanomedical applications. To date, a myriad of methodologies has been designed to manipulate the sonodynamic performance of titanium-involved nanomedicine and further enhance the productivity of reactive oxygen species for disease treatments. In this comprehensive review, the sonocatalytic optimization of diversified Ti-based nanoplatforms, including defect engineering, plasmon resonance modulation, heterojunction, modulating tumor microenvironment, as well as the development of synergistic therapeutic modalities is mainly focused. The state-of-the-art Ti-based nanoplatforms ranging from preparation process to the extensive medical applications are summarized and highlighted, with the goal of elaborating on future research prospects and providing a perspective on the bench-to-beside translation of these sonocatalytic optimization tactics. Furthermore, to spur further technological advancements in nanomedicine, the difficulties currently faced and the direction of sonocatalytic optimization of Ti-based therapeutic nanomedicine are proposed and outlooked.","Nanomedicine, Titanium, Reactive Oxygen Species, Ultrasonic Therapy, Ultrasonography",2023,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
37972767,Pulmonary arterial hypertension nanotherapeutics: New pharmacological targets and drug delivery strategies.,"Pulmonary arterial hypertension (PAH) is a rare, serious, and incurable disease characterized by high lung pressure. PAH-approved drugs based on conventional pathways are still not exhibiting favorable therapeutic outcomes. Drawbacks like short half-lives, toxicity, and teratogenicity hamper effectiveness, clinical conventionality, and long-term safety. Hence, approaches like repurposing drugs targeting various and new pharmacological cascades and/or loaded in non-toxic/efficient nanocarrier systems are being investigated lately. This review summarizes the status of conventional, repurposed, either in vitro, in vivo, and/or in clinical trials of PAH treatment. In-depth description, discussion, and classification of the new pharmacological targets and nanomedicine strategies with a description of all the nanocarriers that showed promising efficiency in delivering drugs are discussed. Ultimately, an illustration of the different nucleic acids tailored and nanoencapsulated within different types of nanocarriers to restore the pathways affected by this disease is presented.","Humans, Pulmonary Arterial Hypertension, Drug Delivery Systems, Familial Primary Pulmonary Hypertension, Nanomedicine",2024,Journal of controlled release : official journal of the Controlled Release Society
33892737,Immunoengineered magnetic-quantum dot nanobead system for the isolation and detection of circulating tumor cells.,Highly efficient capture and detection of circulating tumor cells (CTCs) remain elusive mainly because of their extremely low concentration in patients' peripheral blood.,"Antibodies, Antigens, Neoplasm, Cell Line, Tumor, Cell Separation, Epithelial Cell Adhesion Molecule, Fluorescent Dyes, Humans, Magnetics, Magnetite Nanoparticles, Maleates, Nanotechnology, Neoplastic Cells, Circulating, Particle Size, Polystyrenes, Quantum Dots",2021,Journal of nanobiotechnology
31502904,Toxicological assessment of nanoparticle interactions with the pulmonary system.,"Nanoparticle(NP)-based materials have breakthrough applications in many fields of life, such as in engineering, communications and textiles industries; food and bioenvironmental applications; medicines and cosmetics, etc. Biomedical applications of NPs are very active areas of research with successful translation to pharmaceutical and clinical uses overcoming both pharmaceutical and clinical challenges. Although the attractiveness and enhanced applications of these NPs stem from their exceptional properties at the nanoscale size, i.e. 1-1000<b> </b>nm, they exhibit completely different physicochemical profiles and, subsequently, toxicological profiles from their parent bulk materials. Hence, the clinical evaluation and toxicological assessment of NPs interactions within biological systems are continuously evolving to ensure their safety at the nanoscale. The pulmonary system is one of the primary routes of exposure to airborne NPs either intentionally, via aerosolized nanomedicines targeting pulmonary pathologies such as cancer or asthma, or unintentionally, via natural NPs and anthropogenic (man-made) NPs. This review presents the state-of-the-art, contemporary challenges, and knowledge gaps in the toxicological assessment of NPs interactions with the pulmonary system. It highlights the main mechanisms of NP toxicity, factors influencing their toxicity, the different toxicological assessment methods and their drawbacks, and the recent NP regulatory guidelines based on literature collected from the research pool of NPs interactions with lung cell lines, <i>in vivo</i> inhalation studies, and clinical trials.","Aerosols, Air Pollutants, Animals, Humans, Inhalation Exposure, Lung, Nanomedicine, Nanoparticles, Respiratory System",2020,Nanotoxicology
31310809,Osteoclasts and tumor cells dual targeting nanoparticle to treat bone metastases of lung cancer.,"Bone is one of the prone metastatic sites of lung cancer. Osteoclast plays an important role in bone resorption and the growth of bone metastases of lung cancer. In order to treat bone metastases of lung cancer, we reported a docetaxel (DTX)-loaded nanoparticle, DTX@AHP, which could target dually at osteoclasts and bone metastatic tumor cells. The in vitro drug release from DTX@AHP exhibited pH and redox responsive characteristics. DTX@AHP displayed high binding affinity with bone matrix. In addition, DTX@AHP significantly inhibited the differentiation of RAW264.7 into osteoclast and effectively inhibited the proliferation of osteoclasts and tumor cells in in-vitro 3D bone metastases model of lung cancer. DTX@AHP could accumulate in bone metastases sites in vivo. Consequently, DTX@AHP not only markedly inhibited the growth of bone metastases of lung cancer but also reduced osteolysis in tumor-bearing mice. DTX@AHP exhibited great potential in the treatment of bone metastases of lung cancer.","Animals, Bone Neoplasms, Cell Proliferation, Docetaxel, Drug Delivery Systems, Drug Liberation, Heterografts, Humans, Lung Neoplasms, Mice, Nanoparticles, Neoplasm Metastasis, Osteoclasts, Osteolysis, RAW 264.7 Cells",2019,"Nanomedicine : nanotechnology, biology, and medicine"
38414528,Natural Products-Based Inhaled Formulations for Treating Pulmonary Diseases.,"Given the unique physiological and pathological characteristics of the lung, the direct, inhalable route is more conducive to pulmonary drug delivery and disease control than traditional systemic drug delivery, significantly circumventing drug loss, off-target effects, systemic and organ toxicity, etc., and is widely regarded as the preferred regimen for pulmonary drug delivery. However, very few lung diseases are currently treated with the preferred inhaled formulations, such as asthma, chronic obstructive pulmonary disease and pulmonary hypertension. And there is a lack of appropriate inhaled formulations for other critical lung diseases, such as lung cancer and pulmonary fibrosis, due to the fact that the physicochemical properties of the drugs and their pharmacokinetic profiles do not match the physiology of the lung, and conventional inhalation devices are unable to deliver them to the specific parts of the lung. Phytochemicals of natural origin, due to their wide availability and clear safety profile, hold great promise for the preparation of inhalable formulations to improve the current dilemma in the treatment of lung diseases. In particular, the preparation of inhalable formulations based on nano- and microparticulate carriers for drug delivery to deep lung tissues, which overcome the shortcomings of conventional inhalation therapies while targeting the drug activity directly to a specific part of the lung, may be the best approach to change the current dilemma of lung disease treatment. In this review, we discuss recent advances in nano- and micron-carrier-based inhalation formulations for the delivery of natural products for the treatment of pulmonary diseases, which may represent an opportunity for practical clinical translation of natural products.","Humans, Biological Products, Lung Diseases, Drug Delivery Systems, Lung, Administration, Inhalation, Pharmaceutical Preparations",2024,International journal of nanomedicine
35611759,Photoelectrochemical sandwich immunoassay of CYFRA21-1 based on In<sub>2</sub>O<sub>3</sub>/WO<sub>3</sub> type-II heterojunction and CdS quantum dots-polydopamine nanospheres labeling.,"Using an In<sub>2</sub>O<sub>3</sub>/WO<sub>3</sub> type-II heterojunction modified fluorine-doped tin oxide (FTO) electrode as the photoanode and CdS quantum dots (QDs)-polydopamine nanospheres (PDA NSs) as the secondary antibody (Ab<sub>2</sub>) label, the photoelectrochemistry (PEC) sandwich immunosensing of the lung cancer marker CYFRA21-1 was studied. WO<sub>3</sub> nanoplates were prepared by a hydrothermal method, In<sub>2</sub>O<sub>3</sub> nanoporous spheres were prepared by a hydrothermal method followed by calcination, and the In<sub>2</sub>O<sub>3</sub>/WO<sub>3</sub> type-II heterojunction with high PEC activity was prepared by ultrasonic mixing and cast-coating. PDA NSs with a high surface area can be loaded with abundant Ab<sub>2</sub> molecules and many CdS QDs with an energy level well matched with the heterojunction, so the photocurrent signal can be amplified by the formation of a sandwich immunostructure. Through the simulation experiments of photoelectrode-modified chitosan films of varying thickness, the effective transport distance of photogenerated charges is preliminarily discussed. Under the optimized conditions, the photocurrent was linear with the common logarithm of CYFRA21-1 concentration from 100 fg mL<sup>-1</sup> to 50 ng mL<sup>-1</sup>, with a limit of detection of 56 fg mL<sup>-1</sup> (S/N = 3). The immunoassay of CYFRA21-1 in human serum samples gave satisfactory recovery results.","Humans, Antigens, Neoplasm, Biosensing Techniques, Cadmium Compounds, Electrochemical Techniques, Immunoassay, Indium, Indoles, Keratin-19, Limit of Detection, Nanospheres, Polymers, Quantum Dots, Sulfides",2022,The Analyst
38566036,Role of STING in the treatment of non-small cell lung cancer.,"Non-small cell lung cancer (NSCLC) is a prevalent form of lung cancer. Patients with advanced NSCLC are currently being treated with various therapies, including traditional radiotherapy, chemotherapy, molecular targeted therapies and immunotherapy. However, a considerable proportion of advance patients who cannot benefit from them. Consequently, it is essential to identify a novel research target that offers an encouraging perspective. The stimulator of interferon genes (STING) has emerged as such a target. At present, it is confirmed that activating STING in NSCLC tumor cells can impede the proliferation and metastasis of dormant tumor cells. This review focuses on the role of STING in NSCLC treatment and the factors influencing its activation. Additionally, it explores the correlation between STING activation and diverse therapy modalities for NSCLC, such as radiotherapy, chemotherapy, molecular targeted therapies and immunotherapy. Furthermore, it proposes the prospect of innovative therapy methods involving nanoparticles, with the aim of using the features of STING to develop more strategies for NSCLC therapy.","Humans, Carcinoma, Non-Small-Cell Lung, Lung Neoplasms, Immunotherapy, Molecular Targeted Therapy, Nanoparticles",2024,Cell communication and signaling : CCS
37968865,Nanomedicine Combats Drug Resistance in Lung Cancer.,"Lung cancer is the second most prevalent cancer and the leading cause of cancer-related death worldwide. Surgery, chemotherapy, molecular targeted therapy, immunotherapy, and radiotherapy are currently available as treatment methods. However, drug resistance is a significant factor in the failure of lung cancer treatments. Novel therapeutics have been exploited to address complicated resistance mechanisms of lung cancer and the advancement of nanomedicine is extremely promising in terms of overcoming drug resistance. Nanomedicine equipped with multifunctional and tunable physiochemical properties in alignment with tumor genetic profiles can achieve precise, safe, and effective treatment while minimizing or eradicating drug resistance in cancer. Here, this work reviews the discovered resistance mechanisms for lung cancer chemotherapy, molecular targeted therapy, immunotherapy, and radiotherapy, and outlines novel strategies for the development of nanomedicine against drug resistance. This work focuses on engineering design, customized delivery, current challenges, and clinical translation of nanomedicine in the application of resistant lung cancer.","Humans, Nanomedicine, Lung Neoplasms, Antineoplastic Agents, Neoplasms, Drug Delivery Systems, Drug Resistance, Neoplasm",2024,"Advanced materials (Deerfield Beach, Fla.)"
37518903,Biological mechanism of ZnO nanomaterials.,"Modern nanotechnology has made zinc oxide nanomaterials (ZnO NMts) multifunctional, stable, and low cost, enabling them to be widely used in commercial and biomedical fields. With its wide application, the risk of human direct contact and their release into the environment also increases. This review aims to summarize the toxicity studies of ZnO NMts in vivo, including neurotoxicity, inhalation toxicity, and reproductive toxicity. The antibacterial and antiviral mechanisms of ZnO NMts in vitro and the toxicity to eukaryotic cells were summarized. The summary found that it was mainly related to reactive oxygen species (ROS) produced by oxidative stress. It also discusses the potential harm to body and the favorable prospects of the widespread use of antibacterial and antiviral in the future medical field. The review also emphasizes that the dosage and use method of ZnO NMts will be the focus of future biomedical research.","Humans, Zinc Oxide, Nanostructures, Oxidative Stress, Reactive Oxygen Species, Anti-Bacterial Agents, Antiviral Agents, Nanoparticles",2024,Journal of applied toxicology : JAT
37668152,Design strategy and research progress of multifunctional nanoparticles in lung cancer therapy.,"Lung cancer is one of the cancer types with the highest mortality rate, exploring a more effective treatment modality that improves therapeutic efficacy while mitigating side effects is now an urgent requirement. Designing multifunctional nanoparticles can be used to overcome the limitations of drugs and conventional drug delivery systems. Nanotechnology has been widely researched, and through different needs, suitable nanocarriers can be selected to load anti-cancer drugs to improve the therapeutic effect. It is foreseeable that with the rapid development of nanotechnology, more and more lung cancer patients will benefit from nanotechnology. This paper reviews the merits of various multifunctional nanoparticles in the treatment of lung cancer to provide novel ideas for lung cancer treatment.","Humans, Lung Neoplasms, Multifunctional Nanoparticles, Drug Delivery Systems, Nanoparticles, Nanotechnology, Antineoplastic Agents",2023,Expert opinion on investigational drugs
28257099,Electrochemical Detecting Lung Cancer-Associated Antigen Based on Graphene-Gold Nanocomposite.,"Using a Au nanoparticle/reduced graphene oxide composite (AuNP-RGO), a signal-enhanced electrochemical immunosensor without label was created to detect neuron-specific enolase (NSE). Furthermore, an environmentally-friendly method was developed to prepare AuNP-RGO by employing chitosan (CS), which served as reducing and stabilizing agent. We showed that the sensitivity of the immunosensor designed in this report was remarkably enhanced because of the numerous active sites in the sensor provided by the AuNP-RGO nanostructure. For the quantification of NSE, the immunosensor exhibited a positive linear relationship with the concentration in the range of 0.1 to 2000 ng/mL, where the limit of the detection was 0.05 ng/mL.","Antigens, Neoplasm, Biosensing Techniques, Chitosan, Electrochemical Techniques, Gold, Graphite, Humans, Immunoassay, Lung Neoplasms, Metal Nanoparticles, Phosphopyruvate Hydratase, Spectrum Analysis",2017,"Molecules (Basel, Switzerland)"
35287534,Nanocrystals based mucosal delivery system: research advances.,"Nanocrystal technology is a new way to increase the solubility and bioavailability of poorly soluble drugs. As an intermediate preparation technology, nanocrystals are widely used in drug delivery for oral, venous, percutneous and inhalation administration, which exhibits a broad application prospect. By referring to the domestic anforeign literatures, this paper mainly reviews the preparation methods of nanocrystals for poorly soluble natural products and its application in the mucosal delivery for skin, eye, oral cavity and nasal cavity. This can provide the reference for the research and development of nanocrystal technology in natural product preparations.","Biological Availability, Drug Delivery Systems, Nanoparticles, Pharmaceutical Preparations, Solubility",2021,Drug development and industrial pharmacy
35603964,Autologous Skin Fibroblast-Based PLGA Nanoparticles for Treating Multiorgan Fibrosis.,"Fibrotic diseases remain a substantial health burden with few therapeutic approaches. A hallmark of fibrosis is the aberrant activation and accumulation of myofibroblasts, which is caused by excessive profibrotic cytokines. Conventional anticytokine therapies fail to undergo clinical trials, as simply blocking a single or several antifibrotic cytokines cannot abrogate the profibrotic microenvironment. Here, biomimetic nanoparticles based on autologous skin fibroblasts are customized as decoys to neutralize multiple fibroblast-targeted cytokines. By fusing the skin fibroblast membrane onto poly(lactic-co-glycolic) acid cores, these nanoparticles, termed fibroblast membrane-camouflaged nanoparticles (FNPs), are shown to effectively scavenge various profibrotic cytokines, including transforming growth factor-β, interleukin (IL)-11, IL-13, and IL-17, thereby modulating the profibrotic microenvironment. FNPs are sequentially prepared into multiple formulations for different administration routines. As a proof-of-concept, in three independent animal models with various organ fibrosis (lung fibrosis, liver fibrosis, and heart fibrosis), FNPs effectively reduce the accumulation of myofibroblasts, and the formation of fibrotic tissue, concomitantly restoring organ function and indicating that FNPs are a potential broad-spectrum therapy for fibrosis management.","Animals, Fibroblasts, Fibrosis, Myofibroblasts, Nanoparticles, Transforming Growth Factor beta",2022,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
29654896,Evaluation of in vitro and in vivo antitumor effects of gambogic acid-loaded layer-by-layer self-assembled micelles.,"This study aimed to develop a novel type of multilayer micelle using protamine (PRM) and hyaluronic acid (HA) for the delivery of gambogic acid (GA). GA-loaded micelles (GA-M) were simply andrapidly prepared using lecithin/solutol HS15 using a film-dispersion method. PRM and HA were added in sequence to form layer-by-layer self-assembled micelles (HA-PRM-GA-M), in which particle size, zeta potential, particle morphology, drug loading, encapsulation efficiency, and in vitro release were investigated. Surface charge reversal demonstrated that rapid HA detachment exposed PRM, leading to activation of a ""proton sponge"" effect in the hyaluronidase (HAase)-rich tumor microenvironment. Compared with coumarin 6-loaded micelles (C6-M), more efficient intracellular trafficking was observed for HA-PRM-C6-M, which is associated with the endosomal/lysosomal escaping ability of the exposed PRM. In vivo imaging showed increased enrichment of near infrared fluorescent dye (DIR)-loaded HA-PRM-DIR-M at the tumor site, suggesting that HA enhanced the active tumor targeting of GA. Furthermore, HA-PRM-GA-M showed the stronger antitumor activity than GA and GA-M against human lung adenocarcinoma (A549) tumor xenografts in nude mice. In summary, our findings show the potential of HA-PRM-GA-M as a novel intravenous drug carrier for the treatment of lung cancer.","A549 Cells, Adenocarcinoma, Adenocarcinoma of Lung, Animals, Antineoplastic Agents, Phytogenic, Apoptosis, Cell Movement, Cell Proliferation, Drug Carriers, Drug Compounding, Drug Liberation, Endocytosis, Humans, Hyaluronic Acid, Injections, Intravenous, Lung Neoplasms, Male, Mice, Nude, Micelles, Particle Size, Protamines, Solubility, Surface Properties, Technology, Pharmaceutical, Time Factors, Tissue Distribution, Xanthones, Xenograft Model Antitumor Assays",2018,International journal of pharmaceutics
20654584,Delivery of antiinflammatory nutraceuticals by nanoparticles for the prevention and treatment of cancer.,"Extensive research within the last two decades has revealed that most chronic illnesses, including cancer, diabetes, and cardiovascular and pulmonary diseases, are mediated through chronic inflammation. Thus, suppressing chronic inflammation has the potential to delay, prevent, and even treat various chronic diseases, including cancer. Various nutraceuticals from fruits, vegetables, vitamins, spices, legumes, and traditional Chinese and Ayurvedic medicine have been shown to safely suppress proinflammatory pathways; however, their low bioavailability in vivo limits their use in preventing and treating cancer. We describe here the potential of nanotechnology to fill this gap. Several nutraceuticals, including curcumin, green tea polyphenols, coenzyme Q, quercetin, thymoquinone and others, have been packaged as nanoparticles and proven to be useful in ""nanochemoprevention"" and ""nano-chemotherapy"".","Animals, Anti-Inflammatory Agents, Anticarcinogenic Agents, Chemistry, Pharmaceutical, Dietary Supplements, Humans, Inflammation, Nanoparticles, Neoplasms",2010,Biochemical pharmacology
